Client ID,Number of Employees,Average Number of Tickets,Value of Contract,Industry
TD390,54,1,25000,Retail
DG864,578,92,225000,Services
OA701,168,11,50000,Retail
GI736,141,11,50000,Retail
ME342,582,116,250000,Services
WS394,351,28,150000,Retail
YL712,99,8,25000,Retail
XZ950,287,21,75000,Manufacturing
FS634,383,83,150000,Manufacturing
FT411,56,4,25000,Services
BJ808,101,11,25000,Manufacturing
FC405,447,80,150000,Services
RG708,568,82,225000,Retail
LX009,484,93,200000,Manufacturing
FH721,232,17,75000,Retail
GW810,696,125,200000,Services
OJ363,714,154,150000,Manufacturing
LQ826,160,10,75000,Manufacturing
NR876,466,22,125000,Retail
HA911,435,14,125000,Retail
RP417,434,42,150000,Manufacturing
AH106,475,10,175000,Services
RW590,889,28,225000,Retail
QP283,134,13,50000,Manufacturing
NS690,174,11,75000,Retail
IF530,104,2,50000,Retail
WR759,708,136,250000,Manufacturing
XB147,427,41,175000,Retail
QQ766,614,10,175000,Retail
RV152,301,29,75000,Manufacturing
VW099,614,25,225000,Services
HW462,498,24,175000,Manufacturing
KV080,956,46,200000,Retail
ZV891,75,3,25000,Retail
CK123,937,90,225000,Retail
XN300,332,16,100000,Retail
MY364,107,4,50000,Manufacturing
XH253,620,149,175000,Manufacturing
TK935,98,3,25000,Services
EA907,340,14,100000,Retail
SO073,872,21,225000,Manufacturing
ML204,346,66,125000,Manufacturing
VP668,630,10,150000,Retail
EU061,249,9,75000,Manufacturing
RB539,696,70,250000,Services
VN296,515,16,150000,Retail
YY933,213,12,100000,Retail
WR751,264,8,75000,Retail
ES504,402,77,150000,Manufacturing
XV636,153,4,75000,Manufacturing
BO657,943,91,250000,Retail
AZ991,558,94,225000,Manufacturing
DS387,589,28,250000,Retail
UD478,51,5,25000,Services
GA798,980,125,250000,Retail
IX698,258,4,75000,Retail
XX511,52,1,25000,Retail
JM406,296,38,125000,Retail
AK362,865,125,200000,Manufacturing
XZ882,1086,156,250000,Manufacturing
TJ812,615,79,200000,Retail
LF796,671,145,200000,Manufacturing
QB541,68,5,25000,Services
HG169,877,56,250000,Retail
MI268,268,17,125000,Retail
IE724,124,10,50000,Retail
PU178,449,97,200000,Manufacturing
KL471,730,140,250000,Manufacturing
BP613,150,2,75000,Retail
BC940,130,9,50000,Manufacturing
EQ885,559,18,250000,Retail
VY811,1113,89,225000,Services
LR126,417,47,150000,Retail
XU084,424,8,200000,Services
WM703,205,21,100000,Services
EA188,444,21,125000,Retail
XN129,304,34,150000,Retail
MH413,424,7,175000,Retail
QP954,311,26,75000,Manufacturing
YW363,468,45,200000,Manufacturing
GB108,117,7,50000,Retail
KJ093,526,126,150000,Manufacturing
IF235,303,55,150000,Services
EY701,62,4,25000,Retail
NV543,63,4,25000,Retail
ZF679,56,2,25000,Services
WN214,157,17,75000,Manufacturing
ZH537,473,23,100000,Manufacturing
GT494,533,68,250000,Retail
MT152,304,66,125000,Manufacturing
NS835,403,64,175000,Retail
ZW586,61,4,25000,Retail
RV252,709,28,225000,Services
EY633,358,14,100000,Services
EH313,625,50,175000,Services
AF307,140,1,50000,Retail
HK398,400,6,125000,Retail
JT152,51,6,25000,Manufacturing
BB681,257,6,100000,Manufacturing
CE418,103,2,50000,Retail
BM881,412,99,200000,Manufacturing
RI108,58,4,25000,Retail
PW929,241,13,100000,Retail
KI610,174,3,75000,Services
NB548,514,82,200000,Retail
RC623,103,6,50000,Manufacturing
MV776,444,11,175000,Manufacturing
ZW409,724,93,200000,Retail
NJ331,969,174,225000,Services
VO165,349,28,125000,Retail
AB602,124,15,25000,Manufacturing
PG795,540,91,175000,Manufacturing
JF253,162,8,50000,Retail
KZ248,653,63,200000,Manufacturing
DI989,501,48,175000,Retail
WZ875,511,41,150000,Services
SF121,125,10,50000,Retail
CC371,323,52,125000,Services
NQ125,57,3,25000,Manufacturing
IH194,548,66,250000,Manufacturing
IO409,447,50,150000,Retail
NQ415,518,25,225000,Manufacturing
YP608,310,25,150000,Services
ZO933,1063,77,250000,Manufacturing
KX169,517,74,150000,Retail
LX315,570,14,150000,Manufacturing
SX017,493,32,225000,Retail
SS770,665,96,225000,Retail
AC350,457,73,125000,Services
GQ824,550,62,200000,Retail
BM064,345,35,125000,Services
TA797,77,7,25000,Manufacturing
YK628,131,6,50000,Retail
OV680,336,20,75000,Manufacturing
LK884,515,33,250000,Retail
PO730,399,32,175000,Retail
BM153,760,91,200000,Services
FD620,492,16,200000,Retail
ED757,275,33,100000,Manufacturing
CO779,638,31,150000,Manufacturing
UP105,102,1,50000,Retail
SJ240,615,44,250000,Manufacturing
WY304,50,4,25000,Retail
RS453,560,34,250000,Services
AE832,575,28,175000,Retail
GB470,474,53,175000,Retail
KR852,533,21,200000,Services
MD071,607,73,200000,Manufacturing
TW282,93,1,25000,Retail
KX173,615,74,200000,Manufacturing
LX368,563,9,200000,Retail
AO425,180,13,75000,Services
RK910,301,19,100000,Retail
NX264,209,5,75000,Retail
ZG121,531,106,225000,Services
